"filename", "language", "Python", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"/Users/ilumn/Projects/LehighValleyHackathon/app/api/ai.py", "Python", 49, 0, 0, 0, 0, 5, 54
"/Users/ilumn/Projects/LehighValleyHackathon/app/api/calendar.py", "Python", 6, 0, 0, 0, 0, 1, 7
"/Users/ilumn/Projects/LehighValleyHackathon/app/config/settings.py", "Python", 1, 0, 0, 0, 0, 0, 1
"/Users/ilumn/Projects/LehighValleyHackathon/app/db/crud.py", "Python", 10, 0, 0, 0, 0, 7, 17
"/Users/ilumn/Projects/LehighValleyHackathon/app/db/models.py", "Python", 1, 0, 0, 0, 0, 0, 1
"/Users/ilumn/Projects/LehighValleyHackathon/app/schemas/ai.py", "Python", 15, 0, 0, 0, 0, 4, 19
"/Users/ilumn/Projects/LehighValleyHackathon/app/schemas/calendar.py", "Python", 14, 0, 0, 0, 0, 4, 18
"/Users/ilumn/Projects/LehighValleyHackathon/app/services/ai.py", "Python", 206, 0, 0, 0, 14, 21, 241
"/Users/ilumn/Projects/LehighValleyHackathon/main.py", "Python", 1, 0, 0, 0, 0, 0, 1
"/Users/ilumn/Projects/LehighValleyHackathon/static/a.html", "HTML", 0, 0, 0, -87, 0, -13, -100
"/Users/ilumn/Projects/LehighValleyHackathon/static/code.css", "CSS", 0, 0, -55, 0, -5, -11, -71
"/Users/ilumn/Projects/LehighValleyHackathon/static/code.html", "HTML", 0, 0, 0, -40, -4, -19, -63
"/Users/ilumn/Projects/LehighValleyHackathon/static/index.css", "CSS", 0, 0, -233, 0, -23, -71, -327
"/Users/ilumn/Projects/LehighValleyHackathon/static/ref/a.html", "HTML", 0, 0, 0, 87, 0, 27, 114
"/Users/ilumn/Projects/LehighValleyHackathon/static/ref/app.js", "JavaScript", 0, 135, 0, 0, 7, 19, 161
"/Users/ilumn/Projects/LehighValleyHackathon/static/ref/index.css", "CSS", 0, 0, 356, 0, 31, 94, 481
"/Users/ilumn/Projects/LehighValleyHackathon/static/script.js", "JavaScript", 0, 92, 0, 0, 2, 9, 103
"/Users/ilumn/Projects/LehighValleyHackathon/static/styles.css", "CSS", 0, 0, 451, 0, 35, 84, 570
"/Users/ilumn/Projects/LehighValleyHackathon/static/test.html", "HTML", 0, 0, 0, 57, 2, 17, 76
"/Users/ilumn/Projects/LehighValleyHackathon/static/v1/code.css", "CSS", 0, 0, 141, 0, 12, 29, 182
"/Users/ilumn/Projects/LehighValleyHackathon/static/v1/code.html", "HTML", 0, 0, 0, 87, 9, 25, 121
"Total", "-", 303, 227, 660, 104, 80, 232, 1606